model,holdout_n,stress_day_MAE,stress_underprediction_MAE,backlog_weighted_MAE_w3,AsymAbsLoss_under_w2,AsymAbsLoss_under_w5,WeightedMAE_stress_w3,Pinball_q0.75,Pinball_q0.90,Stress_average_precision
Random forest (S2),271,0.2024716301750797,0.21724258421916684,0.21469042055780943,0.2585912619690642,0.39668696891301114,0.20960942309648942,0.07615579107092829,0.058081457817160696,0.34884220045478836
XGBoost (S2),271,0.17855691025220163,0.21276233905681577,0.27595844312739276,0.3087267328021008,0.4102130938323652,0.2467251103338955,0.08563887995304723,0.05455282418727178,0.3268092143748066
LightGBM (S2),271,0.17174827540350115,0.2063237988992188,0.2862016113922023,0.31339559944792333,0.4045682288072422,0.2504702004615863,0.08594661897525742,0.052613173461966735,0.2927658401049431
14-day moving average,271,0.33955243661192774,0.345567651316378,0.20782838666171224,0.3049164003084176,0.600888874575873,0.24523769506168047,0.10089347293272569,0.09955188402658134,0.3092768001527374
LSTM 28-step (S2),271,0.20795586016259301,0.2373138205652532,0.2290738675434504,0.2740145687468885,0.41659923576633373,0.22106750969850475,0.08038569777167588,0.0606712125125594,0.35554447926501687
