model_family,specification,n_features,cv_MAE_mean,cv_MAE_sd,cv_RMSE_mean,holdout_MAE,holdout_RMSE,holdout_MAPE,holdout_R2,holdout_MeanBias,holdout_MedianAE
LASSO,S1,13,0.19860657789767844,0.010903878558092842,0.24346423481637788,0.2198293058568756,0.27120213089579637,27.006988408893157,-0.017984511228227307,0.13250741004392283,0.18449555319847988
Ridge,S1,13,0.19888680105590256,0.011970332421075407,0.2468556971788373,0.22061741840424934,0.27091870303835613,26.94974289415214,-0.015857873048318316,0.13210366379669752,0.18291065709417698
Random forest,S1,13,0.19335847371934828,0.016076845153100355,0.23612803701343182,0.22485248271639197,0.27648230215764596,27.267195653994662,-0.0580096992943242,0.13783639508399817,0.18729702152448224
OLS,S4,105,0.444991137017961,0.1517069287851739,0.549428863156249,0.3628452667619838,0.4826869410004833,42.768706439229796,-2.2246759124317284,0.1891955054394132,0.2834372173989157
