cadence,holdout_rows,MAE,RMSE,MAPE,R2,MeanBias,MedianAE
No 2025 refit,271,0.21255935965441522,0.26406743863303894,26.00594669758664,0.03487252097169946,0.12049555502511726,0.1736141335549859
Quarterly expanding refit,271,0.1969913694065592,0.2494672393415817,23.35255134804765,0.13864532095358195,0.07492763222426825,0.1546163058400345
Monthly expanding refit,271,0.18884189216197125,0.24109662836673568,22.232542483905377,0.19547925132169497,0.058280379651000844,0.14351550167342453
