target,target_column,model,training_high_pressure_threshold_q75,cv_MAE_mean,cv_MAE_sd,holdout_n,holdout_MAE,holdout_RMSE,holdout_MAPE,holdout_R2,holdout_MeanBias,holdout_MedianAE,high_pressure_true_positive_days,high_pressure_false_positive_days,high_pressure_false_negative_days,high_pressure_true_negative_days,high_pressure_precision,high_pressure_recall,high_pressure_f1
Expanded demand-pressure index,y_expanded_demand_pressure_index,14-day moving average,1.3916083916083917,0.23000004517484998,0.027029798809818185,271,0.21072731890110055,0.2692705396931347,21.77929049005603,0.047293391459368506,0.01008908479520982,0.17683318839009798,0,0,36,235,0.0,0.0,0.20253164556962022
Open-order pressure,y_open_order_pressure,14-day moving average,1.2276785714285716,0.21165189426299974,0.01861300374025505,271,0.19797309835436414,0.25297548198399045,24.434474953448156,0.04126152169363051,0.008690018544883925,0.16886706044007482,0,0,23,248,0.2,0.0,0.07142857142857142
Realized served-truck utilization,y_utilization_nextday,14-day moving average,1.2993243243243244,0.22134027403204687,0.022571128558020716,271,0.20625890888593248,0.26187242672507866,23.53849463815461,0.05085072441653948,0.008943926040962244,0.1637030001849885,0,0,37,234,0.0,0.0,0.2153846153846154
Scheduled demand pressure,y_scheduled_demand_pressure,14-day moving average,1.3096816976127321,0.22267648147465705,0.02555274740016663,271,0.20939292695457482,0.2636941268452325,23.29734439138954,0.036027666756721755,0.007954594136621607,0.17718108413855171,0,0,36,235,0.25,0.0,0.049999999999999996
Secondary trip-capacity utilization,y_secondary_capacity_rate,14-day moving average,0.9349999999999999,0.1490194805194805,0.011778319564888817,271,0.1362361623616236,0.16856048319138112,22.295952528008932,0.039605746233866035,0.007622561939905117,0.11999999999999988,0,0,19,252,0.5,0.0,0.2962962962962963
Served plus deferred pressure,y_served_plus_deferred_pressure,14-day moving average,1.3333333333333333,0.24015839696141147,0.025507729474642506,271,0.21805979378977164,0.2793593873437679,24.429351626797956,0.047816089190755195,0.009033274345031192,0.17120905679694898,0,0,34,237,0.0,0.0,0.18867924528301885
