backlog_attribution,days,mean_open_orders,mean_scheduled,mean_served,mean_trucks,mean_drivers,mean_utilization
Backload-specific administrative/unspecified,78,30.893333333333334,33.626666666666665,33.21333333333333,37.693333333333335,41.61333333333334,0.882274687573696
Capacity/readiness dominant,194,30.211340206185568,32.52061855670103,31.97422680412371,34.21649484536083,34.92783505154639,0.9377052042461632
Demand-side dominant,127,46.36220472440945,49.44094488188976,48.16535433070866,37.89763779527559,41.55905511811024,1.2752333199102408
Mixed demand and capacity/readiness,111,43.711711711711715,46.6036036036036,45.054054054054056,32.96396396396396,33.42342342342342,1.374319476235964
Normal-range or unattributed,221,31.1,33.61818181818182,34.49545454545454,37.17727272727273,40.277272727272724,0.9344486689396793
