model,specification,MAE,RMSE,MAPE,R2,MeanBias,MedianAE
14-day moving average,Baseline,0.20625890888593248,0.26187242672507866,23.538494638154614,0.05085072441653948,0.008943926040962247,0.16370300018498862
7-day moving average,Baseline,0.21407867570313524,0.26925808155183045,24.279782205046363,-0.0034424494025888652,0.007975260275971821,0.18826798466378158
Naive lag-1,Baseline,0.24839944508319717,0.31574263626725624,27.288456476290467,-0.37981682600552813,-0.009000247940187417,0.19826839826839815
Seasonal naive lag-7,Baseline,0.2484250620679867,0.31242032407448406,27.197539247919217,-0.35093213408716695,0.027964610543247684,0.2003910068426198
