comparison,served_volume_component,capacity_denominator_component,net_log_utilization_change,approximate_percent_change
2025 versus 2024,-0.18179315007059316,0.05014510244391035,-0.1316480476266828,-12.33505203448184
2025-H1 versus 2024,-0.11300870118312778,0.05234223959418882,-0.06066646158893896,-5.886290719739584
2025-H2 versus 2024,-0.2505775989580581,0.04794796529363188,-0.2026296336644262,-18.341938060145026
