year,target,valid_n,mean,sd,stress_days
2024,expanded_pressure_index,362,1.208857781191508,0.2846282201493254,175
2024,open_order_pressure,362,1.0632562868670916,0.26886989651914994,114
2024,realized_utilization,362,1.1234823755624987,0.26516391178494325,142
2024,scheduled_pressure,362,1.13553221159672,0.27943543622903577,152
2024,served_plus_deferred_pressure,362,1.1522879480584285,0.2929361712749151,155
2025,expanded_pressure_index,362,1.0662361699679717,0.2709873696845885,101
2025,open_order_pressure,362,0.9183065792963965,0.2548121730124089,48
2025,realized_utilization,362,0.9907582217760825,0.2619084307215152,73
2025,scheduled_pressure,362,0.9948565893425625,0.2630265812406519,74
2025,served_plus_deferred_pressure,362,1.003924501376939,0.27821657308532177,79
