target,target_column,model,fold,MAE,RMSE,MAPE,R2,MeanBias,MedianAE
Scheduled demand pressure,y_scheduled_demand_pressure,LightGBM (S2),2,0.2244192203645749,0.288287368738997,20.14767637850352,0.10621029359474088,-0.026838537061272916,0.1878083414545511
Scheduled demand pressure,y_scheduled_demand_pressure,LightGBM (S2),3,0.20754809637667535,0.2657076148272611,19.646582920994053,0.09949807517142917,0.005770816562624325,0.17436819520089886
Scheduled demand pressure,y_scheduled_demand_pressure,LightGBM (S2),4,0.22564367170492783,0.2774894252003843,25.83258277629658,-0.4352802253929371,0.14653413669565757,0.18336180319788836
Scheduled demand pressure,y_scheduled_demand_pressure,LightGBM (S2),5,0.19742143672443546,0.23342726251063758,19.96006901439273,0.242538423029245,0.0708710179758744,0.2106950094732839
Scheduled demand pressure,y_scheduled_demand_pressure,14-day moving average,1,0.22881884078574577,0.28040244440742373,23.289514924780676,-0.13517225113505527,0.02514206563201277,0.18857407413055938
Scheduled demand pressure,y_scheduled_demand_pressure,14-day moving average,2,0.25700701708835894,0.31270495804285864,25.344021405608867,-0.051607450835812196,0.017427328439852688,0.19620803978994228
Scheduled demand pressure,y_scheduled_demand_pressure,14-day moving average,3,0.22073872113349324,0.2856351488933949,21.529762538114603,-0.04063862369744853,0.0038114277594391414,0.19236258130161643
Scheduled demand pressure,y_scheduled_demand_pressure,14-day moving average,4,0.1853919203779963,0.23539973637431374,20.515004126393038,-0.03289403897369714,-0.0032372627055814148,0.14000773929597526
Scheduled demand pressure,y_scheduled_demand_pressure,14-day moving average,5,0.22142590798769105,0.27305257656925974,22.22955355175185,-0.03645395180268718,0.0009862357508939373,0.16920596259278647
Scheduled demand pressure,y_scheduled_demand_pressure,LSTM 28-step (S2),1,0.254523081796652,0.31691769476818066,27.361127162989952,-0.4500772944993803,0.22731962523555538,0.24311346247812637
Scheduled demand pressure,y_scheduled_demand_pressure,LSTM 28-step (S2),2,0.23384324819196703,0.2872029848095552,21.925456183821918,0.11292157178460582,-0.02697136684087882,0.20134546927043373
Scheduled demand pressure,y_scheduled_demand_pressure,LSTM 28-step (S2),3,0.22380537035802114,0.2782349074218455,22.35476053544898,0.012584647953369776,0.02392671466972539,0.20519152628238985
