model,false_negative_to_false_positive_cost_ratio,forecast_alert_cutoff,calibration_days,cost_units,normalized_cost,true_positive_days,false_positive_days,false_negative_days,true_negative_days,precision,recall,f1
Random forest (S2),1.0,1.01,220,116.0,0.5272727272727272,79,114,2,25,0.40932642487046633,0.9753086419753086,0.5766423357664234
Random forest (S2),1.0,1.02,220,116.0,0.5272727272727272,79,114,2,25,0.40932642487046633,0.9753086419753086,0.5766423357664234
Random forest (S2),1.0,1.03,220,116.0,0.5272727272727272,78,113,3,26,0.4083769633507853,0.9629629629629629,0.5735294117647058
Random forest (S2),1.0,1.04,220,117.0,0.5318181818181819,77,113,4,26,0.4052631578947368,0.9506172839506173,0.5682656826568265
Random forest (S2),1.0,1.05,220,119.0,0.5409090909090909,75,113,6,26,0.39893617021276595,0.9259259259259259,0.5576208178438662
Random forest (S2),1.0,1.06,220,112.0,0.509090909090909,75,106,6,33,0.4143646408839779,0.9259259259259259,0.5725190839694656
Random forest (S2),1.0,1.07,220,106.0,0.4818181818181818,75,100,6,39,0.42857142857142855,0.9259259259259259,0.5859375
Random forest (S2),1.0,1.08,220,104.0,0.4727272727272727,75,98,6,41,0.43352601156069365,0.9259259259259259,0.5905511811023622
Random forest (S2),1.0,1.09,220,99.0,0.45,73,91,8,48,0.4451219512195122,0.9012345679012346,0.5959183673469388
Random forest (S2),1.0,1.1,220,93.0,0.42272727272727273,73,85,8,54,0.4620253164556962,0.9012345679012346,0.6108786610878661
Random forest (S2),1.0,1.11,220,87.0,0.39545454545454545,70,76,11,63,0.4794520547945205,0.8641975308641975,0.6167400881057269
Random forest (S2),1.0,1.12,220,84.0,0.38181818181818183,67,70,14,69,0.48905109489051096,0.8271604938271605,0.6146788990825688
Random forest (S2),1.0,1.13,220,81.0,0.36818181818181817,66,66,15,73,0.5,0.8148148148148148,0.6197183098591549
Random forest (S2),1.0,1.14,220,80.0,0.36363636363636365,62,61,19,78,0.5040650406504065,0.7654320987654321,0.6078431372549019
Random forest (S2),1.0,1.15,220,83.0,0.37727272727272726,56,58,25,81,0.49122807017543857,0.691358024691358,0.5743589743589743
Random forest (S2),1.0,1.16,220,80.0,0.36363636363636365,54,53,27,86,0.5046728971962616,0.6666666666666666,0.5744680851063829
Random forest (S2),1.0,1.17,220,76.0,0.34545454545454546,52,47,29,92,0.5252525252525253,0.6419753086419753,0.5777777777777777
Random forest (S2),1.0,1.18,220,77.0,0.35,45,41,36,98,0.5232558139534884,0.5555555555555556,0.5389221556886228
Random forest (S2),1.0,1.19,220,75.0,0.3409090909090909,39,33,42,106,0.5416666666666666,0.48148148148148145,0.5098039215686274
Random forest (S2),1.0,1.2,220,68.0,0.3090909090909091,38,25,43,114,0.6031746031746031,0.4691358024691358,0.5277777777777777
Random forest (S2),1.0,1.21,220,63.0,0.2863636363636364,37,19,44,120,0.6607142857142857,0.4567901234567901,0.5401459854014599
Random forest (S2),1.0,1.22,220,69.0,0.31363636363636366,30,18,51,121,0.625,0.37037037037037035,0.4651162790697674
Random forest (S2),1.0,1.23,220,70.0,0.3181818181818182,27,16,54,123,0.627906976744186,0.3333333333333333,0.43548387096774194
