model,precision,recall,threshold,average_precision
Random forest (S2),0.2558139534883721,0.9821428571428571,1.0335251368317273,0.34884220045478836
Random forest (S2),0.2570093457943925,0.9821428571428571,1.0381423989173604,0.34884220045478836
Random forest (S2),0.25821596244131456,0.9821428571428571,1.0398011814922257,0.34884220045478836
Random forest (S2),0.25943396226415094,0.9821428571428571,1.043496352583413,0.34884220045478836
Random forest (S2),0.26066350710900477,0.9821428571428571,1.0436311080010248,0.34884220045478836
Random forest (S2),0.2619047619047619,0.9821428571428571,1.0438209314645472,0.34884220045478836
Random forest (S2),0.2631578947368421,0.9821428571428571,1.0463542168502895,0.34884220045478836
Random forest (S2),0.2644230769230769,0.9821428571428571,1.048290961671814,0.34884220045478836
Random forest (S2),0.26570048309178745,0.9821428571428571,1.0492705550098014,0.34884220045478836
Random forest (S2),0.2669902912621359,0.9821428571428571,1.0514465539017075,0.34884220045478836
Random forest (S2),0.2682926829268293,0.9821428571428571,1.051512836797423,0.34884220045478836
Random forest (S2),0.2696078431372549,0.9821428571428571,1.051562037676952,0.34884220045478836
Random forest (S2),0.270935960591133,0.9821428571428571,1.0531711035124602,0.34884220045478836
Random forest (S2),0.2722772277227723,0.9821428571428571,1.0560709679334264,0.34884220045478836
Random forest (S2),0.26865671641791045,0.9642857142857143,1.0570796182145463,0.34884220045478836
Random forest (S2),0.27,0.9642857142857143,1.0572328101304882,0.34884220045478836
Random forest (S2),0.2663316582914573,0.9464285714285714,1.058630195804252,0.34884220045478836
Random forest (S2),0.2676767676767677,0.9464285714285714,1.0594705874585482,0.34884220045478836
Random forest (S2),0.26903553299492383,0.9464285714285714,1.0624215419010845,0.34884220045478836
Random forest (S2),0.27040816326530615,0.9464285714285714,1.0659588048916664,0.34884220045478836
Random forest (S2),0.2717948717948718,0.9464285714285714,1.066391421108221,0.34884220045478836
Random forest (S2),0.27319587628865977,0.9464285714285714,1.0692601973748728,0.34884220045478836
Random forest (S2),0.27461139896373055,0.9464285714285714,1.0708372009855198,0.34884220045478836
Random forest (S2),0.2760416666666667,0.9464285714285714,1.0710994645103622,0.34884220045478836
Random forest (S2),0.2774869109947644,0.9464285714285714,1.073365497457914,0.34884220045478836
Random forest (S2),0.2789473684210526,0.9464285714285714,1.0737079731233048,0.34884220045478836
Random forest (S2),0.2804232804232804,0.9464285714285714,1.0766581541596785,0.34884220045478836
Random forest (S2),0.28191489361702127,0.9464285714285714,1.0776388809621622,0.34884220045478836
Random forest (S2),0.28342245989304815,0.9464285714285714,1.0798883345670969,0.34884220045478836
Random forest (S2),0.2849462365591398,0.9464285714285714,1.0801007893550565,0.34884220045478836
Random forest (S2),0.2864864864864865,0.9464285714285714,1.0811027878024444,0.34884220045478836
Random forest (S2),0.28804347826086957,0.9464285714285714,1.0829423481084617,0.34884220045478836
Random forest (S2),0.2896174863387978,0.9464285714285714,1.0835453449809571,0.34884220045478836
Random forest (S2),0.29120879120879123,0.9464285714285714,1.0867863816365904,0.34884220045478836
