model_family,specification,fold,n_features,MAE,RMSE,MAPE,R2,MeanBias,MedianAE
OLS,S5,1,123,0.2613486271056837,0.3340619967772596,26.870730097233203,-0.8153010087686485,0.09643535489908199,0.2226038016196369
OLS,S5,2,123,1.27390195651696,1.6055291729761763,119.49824001630367,-28.416963768317117,1.2079099689314594,0.9442989538274728
OLS,S5,3,123,2.5096660721156194,2.893507220573359,245.3950646458333,-115.38290386042047,2.011084119654109,2.7354938844227537
OLS,S5,4,123,0.6019604476762938,0.7085977575975391,60.628592548621384,-7.743297521576411,0.26941922481279373,0.6236055794194081
OLS,S5,5,123,0.37632400740466637,0.4383337059511322,35.931931134281854,-1.51293938879108,-0.15863420843460282,0.3534261620857222
OLS,S6,1,127,0.3009687152983192,0.3755495977610686,31.517848451029046,-1.2941885395649662,0.1578965914030616,0.24146775976305224
OLS,S6,2,127,1.4241443642400695,1.6722256417195467,139.28983798913163,-30.911792562452565,1.3563491271422345,1.4221243148138218
OLS,S6,3,127,1.7404088391447095,1.9835292522396457,169.23354693154332,-53.69117669293994,1.156717821196272,1.7156614773444956
OLS,S6,4,127,0.607096488974856,0.7633289921141534,62.56233319634048,-9.146102026389347,0.4494615246593225,0.5386226060104823
OLS,S6,5,127,0.43862682922703294,0.5332666311364415,41.91051527588947,-2.719299028760206,-0.21257787609707754,0.4460467822914956
Ridge,S1,1,13,0.197863232930494,0.2433445075909105,20.84640230298314,0.0367531432183299,0.036830570487148565,0.15735327700832258
Ridge,S1,2,13,0.21872266671914797,0.2735003189055678,18.981127857498876,0.14635536102284796,-0.09754539631328595,0.176958326959474
Ridge,S1,3,13,0.19861606325764625,0.2434064748296933,18.257348105695506,0.17642282577835033,-0.0687992877056371,0.1725420871152381
Ridge,S1,4,13,0.1914433357489209,0.23640590476895673,18.654101959302686,0.026821850216145027,-0.0523084326943078,0.1554453855215181
Ridge,S1,5,13,0.18778870662330374,0.23762127979905817,17.381964493425116,0.26151285420678794,-0.043795158220584746,0.1598756431167339
Ridge,S2,1,29,0.1855552086529821,0.24197945927937742,19.039916017427707,0.04752955714480778,0.052024863597447624,0.15540005939659018
Ridge,S2,2,29,0.26235099804544293,0.3110398722760634,23.999320918497887,-0.1040622808917715,-0.03731452012274621,0.23492039757695626
Ridge,S2,3,29,0.19612114479240494,0.24121871509520557,18.2954903344391,0.19116106689460877,-0.0654910560583329,0.19470149696606054
Ridge,S2,4,29,0.19901857613723067,0.24746461886306242,20.315773399347236,-0.06635531779851855,-0.0028648564430455714,0.18509277577367883
Ridge,S2,5,29,0.19874021622061253,0.24699477391875213,18.2972965409499,0.20210120786733765,-0.06334565604650648,0.16831770684660818
Ridge,S3,1,79,0.19060416755491827,0.24391546091541733,19.296158781153576,0.03222775499306829,0.009007899019963739,0.14576813351724016
Ridge,S3,2,79,0.36051248059325186,0.4264356660929068,33.49969668564761,-1.0752407414208345,-0.020378850621509258,0.3055701124119292
Ridge,S3,3,79,0.23278412661287745,0.2796934798171356,22.68846744997616,-0.08743856967482966,-0.026755514138938483,0.19126751954906823
Ridge,S3,4,79,0.22237504031052868,0.2685244708143967,21.861338590495098,-0.255577280270076,-0.06472003680579974,0.18030242426156706
Ridge,S3,5,79,0.1990595632544823,0.2462447966799809,19.631653015804364,0.20693934610630116,0.0063359888541132895,0.1633179905088043
Ridge,S4,1,105,0.17777868587759868,0.2430193907325349,18.608363152304026,0.039325287487365634,0.021472024931115635,0.12436036942256423
Ridge,S4,2,105,0.32876437421966126,0.40073741240981464,29.73779559188531,-0.8326571360839787,-0.04530090831522037,0.288225466555205
Ridge,S4,3,105,0.24998043352266874,0.3003928456804783,25.35857508918362,-0.25435139819705754,0.0006767324216808475,0.22401119759692156
Ridge,S4,4,105,0.20660321256670844,0.25143344245476795,21.269953009426086,-0.10083389387201458,-0.007016678766868756,0.16814464346848018
Ridge,S4,5,105,0.2178716328362458,0.2692580961024177,22.852686047399597,0.051778451886825616,0.11895122369350263,0.15752328797552995
Ridge,S5,1,123,0.18081349965124943,0.24744169135404165,19.32814374375947,0.004043765018218348,0.05256251276880753,0.11474312964744426
Ridge,S5,2,123,0.3560336007397092,0.4228007564085098,31.385778922124064,-1.0400130908552452,-0.11850402135427225,0.3061022552517336
Ridge,S5,3,123,0.2511250206828631,0.3157525527827571,25.893256780148416,-0.385906044607246,0.020676175004725163,0.20241426621576009
Ridge,S5,4,123,0.2047398627033405,0.255111182251151,22.310763339031354,-0.1332734139222307,0.06670606523521147,0.17640353599022962
Ridge,S5,5,123,0.2064349436289813,0.26622845611336726,20.906883369892995,0.07299681476167774,0.0798076103203445,0.15995240631077035
Ridge,S6,1,127,0.18125940672555263,0.25478974518644404,19.843276250446607,-0.05598656436232452,0.07292815555409389,0.1220068331105224
Ridge,S6,2,127,0.3655271528863976,0.4316124957707602,32.667891001026625,-1.125932456473064,-0.09008409263638496,0.3228018899244283
Ridge,S6,3,127,0.28166367414751803,0.35852973879966055,29.6152843008896,-0.7868595498186377,0.09339630943989365,0.21486990066230277
Ridge,S6,4,127,0.2066741075289806,0.2589101448932588,22.557276916595626,-0.16727677687783138,0.07104810378154874,0.17214359135574564
Ridge,S6,5,127,0.20912812691373786,0.2705013407432407,20.91705925491036,0.04300179503013968,0.058342954053708394,0.163895269485148
LASSO,S1,1,13,0.20127546856279216,0.2497380223182159,21.433026244949307,-0.014527538397058448,0.05306279635760303,0.15836322283114168
LASSO,S1,2,13,0.21627221853426076,0.26544665357341957,19.765878907571217,0.19588909397011778,-0.050323910716900434,0.17130317720864552
LASSO,S1,3,13,0.1953388393187411,0.2394490089261943,19.2574325994597,0.2029856591482947,0.0010632601886016093,0.171703795540614
LASSO,S1,4,13,0.19025291969900762,0.22486509478167677,19.913417001734203,0.11951937793351075,0.020318491065750694,0.16844996319776073
LASSO,S1,5,13,0.18989344337359057,0.23782239448238285,17.752093398910016,0.26026226368709515,-0.036859949047393176,0.16302420096607972
LASSO,S2,1,29,0.23809862499164625,0.3075284769208005,24.58945405059411,-0.5383855017210581,0.14134641011666324,0.17253537709157674
LASSO,S2,2,29,0.24076415295546233,0.2958877917410844,21.203005415131866,0.0008848684346191016,-0.08449948670561018,0.21930510063176112
LASSO,S2,3,29,0.19732604846534862,0.24558611695917817,20.013019104748835,0.16160694340498294,0.03330118222275263,0.16662433886819406
LASSO,S2,4,29,0.19237460501161285,0.22932634872935923,20.305679665541387,0.08423588246449099,0.028128157664481603,0.17567441146942142
LASSO,S2,5,29,0.18404874925861048,0.23387359036385127,17.334129036952614,0.2846235406653336,-0.025940610334104417,0.17336026035473645
LASSO,S3,1,79,0.22043942558799554,0.2821477663343595,23.395342408734844,-0.294934306012002,0.05558452127515187,0.20569701452319183
LASSO,S3,2,79,0.301709002585791,0.370957626938685,27.11509125064201,-0.570399153277787,-0.07373354823812507,0.27281936865395506
LASSO,S3,3,79,0.226448564675556,0.2726523877359026,23.380739033894635,-0.03337668507197322,0.05208521222677884,0.188772172749124
LASSO,S3,4,79,0.1939611434365568,0.22427442307105558,20.295672129528615,0.12413896492404819,0.0003537847306744234,0.18420241396060655
