fold,training_sequence_samples,prediction_sequence_samples,epochs_run,best_internal_validation_mae_scaled,preprocessing_seconds,training_seconds,inference_seconds
1,19,44,40,0.7655364871025085,0.015915602999939438,0.21509862399989288,0.0024755979998190014
2,63,44,108,0.7259518504142761,0.0037110240000401973,1.0566435320001801,0.0012689870000031078
3,107,44,23,1.0473164319992065,0.002904452000166202,0.35450970199963194,0.001446340000256896
4,151,44,16,0.7895371317863464,0.0026162269996348186,0.32933759299976373,0.0006737530002283165
5,195,44,23,0.6887949705123901,0.0031637639999644307,0.5489216240002861,0.0010053219998553686
full_2024_to_2025,239,271,28,0.7876202464103699,0.0044336169999041886,0.8170667039998989,0.005749787000240758
